ST_UC	ST_DEK	ST_ROM	ST_OPB	ST_ODL_USM	REGIJA	TIP
continuous	continuous	continuous	continuous	continuous	discrete	string
					class	meta
24.0	16.0	0.0	22.0	1.0	Osrednjeslovenska	1.0
0.0	0.0	0.0	0.0	0.0	Osrednjeslovenska	8.0
22.0	9.0	0.0	22.0	1.0	Pomurska	1.0
20.0	10.0	0.0	20.0	0.0	Osrednjeslovenska	1.0
24.0	13.0	0.0	23.0	2.0	Osrednjeslovenska	1.0
20.0	12.0	0.0	20.0	0.0	Osrednjeslovenska	1.0
23.0	8.0	0.0	23.0	1.0	Jugovzhodna Slovenija	1.0
27.0	12.0	0.0	27.0	1.0	Osrednjeslovenska	1.0
19.0	9.0	0.0	19.0	1.0	Osrednjeslovenska	1.0
19.0	11.0	0.0	19.0	2.0	Osrednjeslovenska	1.0
24.0	10.0	0.0	0.0	1.0	Osrednjeslovenska	1.0
26.0	12.0	0.0	0.0	2.0	Osrednjeslovenska	1.0
24.0	10.0	0.0	0.0	3.0	Osrednjeslovenska	1.0
25.0	11.0	0.0	0.0	1.0	Osrednjeslovenska	1.0
19.0	11.0	0.0	0.0	1.0	Osrednjeslovenska	1.0
20.0	12.0	0.0	0.0	0.0	Podravska	1.0
22.0	10.0	0.0	0.0	1.0	Koroška	1.0
22.0	11.0	0.0	0.0	1.0	Koroška	1.0
0.0	0.0	0.0	0.0	0.0	Koroška	8.0
0.0	0.0	0.0	0.0	0.0	Koroška	8.0
0.0	0.0	0.0	0.0	0.0	Koroška	8.0
0.0	0.0	0.0	0.0	0.0	Koroška	8.0
0.0	0.0	0.0	0.0	0.0	Podravska	8.0
25.0	13.0	0.0	25.0	1.0	Podravska	1.0
20.0	7.0	0.0	11.0	1.0	Podravska	1.0
20.0	14.0	0.0	11.0	0.0	Podravska	1.0
26.0	12.0	0.0	3.0	3.0	Gorenjska	1.0
26.0	12.0	0.0	0.0	2.0	Gorenjska	1.0
24.0	13.0	0.0	0.0	2.0	Gorenjska	1.0
