Regija,Sifra,Šola,'Okoljska vzgoja II /i/','Likovno snovanje 3 /i/','Izbrani šport /i/','Verstva in etika 2 /i/','Logika III /i/','Ansambelska igra /i/','Kemija v življenju /i/','Angleš?ina III /i/','Matemati?ne delavnice 8 /i/','Latinš?ina I /i/','Ruš?ina III /i/','Projekti iz fizike in tehnike /i/','Madžarš?ina II /i/','Filozofija za otroke: Jaz in drugi /i/','Obdelava gradiv: kovine /i/','Kitajš?ina I /i/','Verstva in etika 1 /i/','Nemš?ina I /i/','Projekti iz fizike in ekologije /i/','Zvezde in vesolje /i/','Tisk /i/','Hrvaš?ina II /i/','Urejanje besedil /i/','Robotika v tehniki /i/','Okoljska vzgoja I /i/','Logika II /i/','Hrvaš?ina I /i/','Klekljanje II /i/','Šolsko novinarstvo /i/','Sre?anja s kulturami in na?ini življenja /i/','Na?ini prehranjevanja /i/','Turisti?na vzgoja /i/','Kmetijska dela /i/','Filozofija za otroke: Eti?na raziskovanja /i/','Angleš?ina II /i/','Romska kultura /i/','Življenje upodobljeno v umetnosti /i/','Srbš?ina II /i/','Francoš?ina III /i/','Obdelava gradiv: umetne snovi /i/','Kemija v okolju /i/','Genetika /i/','Šport za zdravje /i/','Literarni klub /i/','Ruš?ina I /i/','Klaviatura in ra?unalnik I /i/','Raziskovanje doma?e okolice /i/','Glasbeni projekt /i/','Okoljska vzgoja III /i/','Sodobna priprava hrane /i/','Latinš?ina II /i/','Obdelava gradiv: les /i/','Ra?unalništvo (v OŠPP) /i/','Sonce Luna in Zemlja /i/','Latinš?ina III /i/','Ra?unalniška omrežja /i/','Vezenje: Angleško vezenje in rišelje vezenje (i)','Glasbena dela /i/','Filozofija za otroke: Kriti?no mišljenje /i/','Televizija /i/','Šahovsko kombiniranje /i/','Španš?ina III /i/','Nemš?ina III /i/','Sodobnosti z razsežnostmi dediš?ine /i/','Varstvo pred naravnimi in drugimi nesre?ami /i/','Državljanska kultura /i/','Italijanš?ina III /i/','?ebelarstvo /i/','Elektrotehnika /i/','Življenje ?loveka na zemlji /i/','Šahovske strategije /i/','Sodobno kmetijstvo /i/','Francoš?ina II /i/','Informacijsko opismenjevanje /i/','Vezenje: Osnovni vbodi in tehnike vezenja /i/','Odkrivajmo preteklost mojega kraja /i/','Hrvaš?ina III /i/','Matemati?ne delavnice 7 /i/','Kitajš?ina III /i/','Klekljanje I /i/','Organizmi v naravi in umetnem okolju /i/','Daljnogledi in planeti /i/','Raziskovanje organizmov v doma?i okolici /i/','Klaviatura in ra?unalnik II /i/','Nemš?ina II /i/','Kitajš?ina II /i/','Multimedia /i/','Rastline in ?lovek /i/','Italijanš?ina II /i/','Gledališki klub /i/','Starinski in družabni plesi /i/','Ljudski plesi /i/','Kaj nam govorijo umetnine /i/','Ples /i/','Radio /i/','Likovno snovanje 2 /i/','Risanje v geometriji in tehniki /i/','Vezenje: Slikarski marjeti?ni in gobelinski vbodi (i)','Elektronika z robotiko /i/','Oblika in slog /i/','Francoš?ina I /i/','Italijanš?ina I /i/','Šport za sprostitev /i/','Logika I /i/','Srbš?ina I /i/','Ruš?ina II /i/','Klekljanje III /i/','Verstva in etika 3 /i/','Madžarš?ina I /i/','Retorika /i/','Angleš?ina I /i/','Matemati?ne delavnice 9 /i/','Likovno snovanje 1 /i/','Španš?ina II /i/','Poskusi v kemiji /i/','Raziskovanje doma?ega kraja in varstvo njegovega okolja /i/'
Gorenjska,222,'Osnovna šola Franceta Prešerna Kranj',0,13,31,0,0,10,0,0,0,0,0,0,0,0,0,0,0,21,0,14,0,0,14,6,0,0,0,0,0,0,14,12,10,0,0,0,0,0,7,20,18,12,6,0,0,0,19,9,0,0,0,22,0,18,0,18,0,11,12,0,8,10,10,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,21,0,0,16,0,19,0,0,23,0,0,0,14,0,26,0,0,0,0,37,0,11,0,0,0,0,0,0,12,0,0,15,18,19,16
Gorenjska,223,'Osnovna šola Matije ?opa Kranj',0,12,23,0,18,25,0,0,0,0,0,0,0,10,13,0,0,24,0,10,0,0,17,8,0,0,0,0,18,0,13,20,0,13,0,0,0,0,8,14,0,12,25,0,0,0,0,0,0,23,0,21,0,12,0,23,0,24,8,8,0,0,16,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,17,0,0,16,0,17,0,0,8,0,0,0,0,0,25,0,0,0,0,36,0,28,0,0,0,0,0,0,11,0,0,18,0,7,0
Gorenjska,224,'Osnovna šola Simona Jenka Kranj',0,27,13,0,0,10,12,0,0,0,0,0,0,0,0,0,0,32,0,0,18,0,27,0,0,0,0,0,11,0,23,0,0,0,0,0,0,0,0,9,0,10,25,0,0,0,0,12,0,18,0,0,0,15,0,23,0,0,0,0,0,0,14,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,28,0,0,0,19,0,27,15,0,16,12,0,0,0,0,27,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,28,0,20,0
Gorenjska,225,'Osnovna šola Stražiš?e Kranj',0,38,107,16,0,17,0,0,0,0,0,0,0,0,10,0,18,31,0,18,0,0,64,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,27,0,0,59,26,0,0,0,0,0,29,0,19,0,21,0,10,0,0,0,26,0,0,13,0,0,13,0,0,0,12,0,0,9,0,0,0,0,0,0,11,16,22,0,0,28,0,25,0,0,34,0,0,0,32,25,32,0,0,0,0,14,0,31,0,0,0,0,10,0,21,0,0,35,12,37,0
Gorenjska,226,'Osnovna šola Staneta Žagarja Kranj',0,15,32,0,0,19,0,0,0,0,0,0,0,0,12,0,0,28,12,0,0,0,32,15,0,0,0,0,0,0,27,22,0,0,0,0,0,0,0,0,0,0,22,0,6,30,0,0,0,19,0,23,0,0,0,10,0,25,0,0,0,8,12,0,0,0,0,0,0,16,0,0,0,0,18,0,0,0,0,0,24,0,0,12,12,0,11,17,0,30,0,0,0,15,0,17,0,0,0,0,0,0,26,0,0,5,0,0,0,0,0,0,18,12,23,24
Gorenjska,227,'Osnovna šola Jakoba Aljaža Kranj',0,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,7,0,0,13,0,0,0,0,11,10,0,7,12,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12,0,11,0,0,0,4,0,10,0,0,0,17,0,0,12,0,0,0,0,0,0,26,0,0,0,5,13,0,0,0,0,9,18,11,0,0,18,0,22,0,0,33,0,0,0,0,0,20,0,0,0,0,0,0,28,11,0,0,7,0,0,0,0,0,9,0,16,0
Gorenjska,228,'Osnovna šola Predoslje Kranj',0,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,0,0,15,0,21,0,0,0,0,0,12,0,25,12,0,0,0,0,0,0,0,16,0,0,9,14,0,0,0,0,0,23,0,8,0,11,0,13,0,0,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,17,0,7,0,11,0,8,12,0,8,0,0,0,10,26,17,0,0,0,0,0,0,11,0,0,0,0,0,0,13,0,0,11,0,12,0
Gorenjska,231,'Osnovna šola Matije Valjavca Preddvor',0,17,13,0,0,0,0,0,0,0,2,0,0,0,10,0,0,12,0,0,0,0,8,0,0,0,0,0,0,17,42,15,0,0,0,0,0,0,0,10,0,0,24,0,7,0,5,0,0,51,0,12,0,12,0,23,0,0,0,0,0,0,10,0,9,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,20,0,8,16,0,11,12,0,0,0,0,15,0,0,0,0,0,0,8,0,0,5,0,0,0,10,0,0,0,0,11,12
Gorenjska,232,'Osnovna šola Davorina Jenka Cerklje na Gorenjskem',0,52,57,0,0,0,0,0,8,5,0,0,0,0,11,0,0,33,0,0,0,0,25,0,0,0,0,0,24,0,34,33,0,0,0,0,0,0,14,8,0,0,35,0,0,0,8,8,0,47,0,15,0,9,0,13,0,0,0,15,0,0,20,0,5,16,6,0,0,0,0,0,4,0,10,0,0,0,0,0,20,5,8,0,21,0,15,8,7,14,0,0,0,0,0,50,7,0,6,0,10,13,35,8,0,0,0,0,0,14,0,0,47,0,29,0
Gorenjska,233,'Osnovna šola Šen?ur',0,40,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,28,18,0,0,0,0,14,0,42,17,0,0,0,0,0,0,3,0,0,13,13,0,0,0,0,0,0,12,0,6,0,10,0,16,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,30,0,0,0,5,0,30,0,0,20,0,0,0,7,0,46,26,0,0,0,20,0,22,10,0,0,0,0,0,7,0,0,30,3,5,0
