'ZAVSIF','SL_ID','OBR_ID','ST_UC','NAZIV','NAZIV_POVEZAVE'
112,19,17,1,'3. razred','Izobraževanje na domu'
112,15,17,1,'5. razred','Izobraževanje na domu'
112,20,17,1,'6. razred','Izobraževanje na domu'
112,14,17,1,'4. razred','Izobraževanje na domu'
112,19,17,1,'6. razred','Izobraževanje na domu'
112,18,17,1,'8. razred','Izobraževanje na domu'
112,17,17,1,'3. razred','Izobraževanje na domu'
112,17,17,1,'4. razred','Izobraževanje na domu'
112,17,17,1,'5. razred','Izobraževanje na domu'
112,17,17,1,'7. razred','Izobraževanje na domu'
112,16,17,1,'2. razred','Izobraževanje na domu'
112,16,17,1,'3. razred','Izobraževanje na domu'
112,21,17,2,'1. razred','Izobraževanje na domu'
112,16,17,1,'4. razred','Izobraževanje na domu'
112,16,17,1,'6. razred','Izobraževanje na domu'
112,20,17,1,'8. razred','Izobraževanje na domu'
118,15,17,1,'1. razred','Izobraževanje na domu'
122,21,17,1,'1. razred','Izobraževanje na domu'
124,21,17,1,'6. razred','Izobraževanje na domu'
128,21,17,1,'8. razred','Izobraževanje na domu'
128,21,17,1,'6. razred','Izobraževanje na domu'
130,21,17,1,'4. razred','Izobraževanje na domu'
130,21,17,1,'3. razred','Izobraževanje na domu'
130,18,17,1,'8. razred','Izobraževanje na domu'
131,15,17,1,'8. razred','Izobraževanje na domu'
131,19,17,1,'2. razred','Izobraževanje na domu'
131,18,17,1,'1. razred','Izobraževanje na domu'
131,19,17,1,'3. razred','Izobraževanje na domu'
131,21,17,1,'2. razred','Izobraževanje na domu'
131,20,17,1,'4. razred','Izobraževanje na domu'
131,20,17,1,'3. razred','Izobraževanje na domu'
131,16,17,1,'9. razred','Izobraževanje na domu'
131,21,17,1,'4. razred','Izobraževanje na domu'
131,20,17,1,'1. razred','Izobraževanje na domu'
131,21,17,1,'5. razred','Izobraževanje na domu'
134,21,17,1,'4. razred','Izobraževanje na domu'
134,21,17,1,'1. razred','Izobraževanje na domu'
135,17,17,1,'1. razred','Izobraževanje na domu'
141,20,17,1,'4. razred','Izobraževanje na domu'
142,19,17,1,'7. razred','Izobraževanje na domu'
144,20,17,1,'1. razred','Izobraževanje na domu'
144,21,17,1,'2. razred','Izobraževanje na domu'
149,17,17,1,'9. razred','Izobraževanje na domu'
149,16,17,1,'8. razred','Izobraževanje na domu'
149,16,17,1,'9. razred','Izobraževanje na domu'
149,15,17,1,'7. razred','Izobraževanje na domu'
149,15,17,1,'8. razred','Izobraževanje na domu'
149,13,17,1,'5. razred','Izobraževanje na domu'
149,13,17,1,'6. razred','Izobraževanje na domu'
149,14,17,1,'6. razred','Izobraževanje na domu'
149,14,17,1,'7. razred','Izobraževanje na domu'
150,18,17,1,'5. razred','Izobraževanje na domu'
158,19,17,1,'1. razred','Izobraževanje na domu'
158,21,17,1,'1. razred','Izobraževanje na domu'
159,19,17,1,'8. razred','Izobraževanje na domu'
159,15,17,1,'9. razred','Izobraževanje na domu'
160,19,17,1,'1. razred','Izobraževanje na domu'
160,20,17,1,'8. razred','Izobraževanje na domu'
160,20,17,1,'6. razred','Izobraževanje na domu'
160,20,17,1,'2. razred','Izobraževanje na domu'
