ID1	ZAVSIF	ZAVKATEGNAC	PREDMETNIK	ZAVSIFMAT	ID	MAT_ID	PROGRAM_ID	RAZRED	RAZRED_OZNAKA	DELEZ	ST_UC	ST_DEK	ST_ROM	ST_ODL_USM	ST_OPB	JEZIK_1	JEZIK_2	REGIJA	TIP
continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	string
																		class	meta
100.0	954.0	2010.0	A	112.0	1044056.0	1044056.0	3803.0	12.0	A	1.0	24.0	16.0	0.0	1.0	22.0	0.0	0.0	Osrednjeslovenska	1.0
102.0	257.0	2010.0	A	112.0	1044058.0	1044058.0	3803.0	13.0	A	1.0	22.0	9.0	0.0	1.0	22.0	0.0	0.0	Pomurska	1.0
103.0	273.0	2010.0	A	112.0	1044059.0	1044059.0	3803.0	13.0	B	1.0	20.0	10.0	0.0	0.0	20.0	0.0	0.0	Osrednjeslovenska	1.0
104.0	1272.0	2010.0	A	112.0	1044060.0	1044060.0	3803.0	14.0	A	1.0	24.0	13.0	0.0	2.0	23.0	0.0	0.0	Osrednjeslovenska	1.0
105.0	3708.0	2010.0	A	112.0	1044061.0	1044061.0	3803.0	14.0	B	1.0	20.0	12.0	0.0	0.0	20.0	0.0	0.0	Osrednjeslovenska	1.0
106.0	385.0	2010.0	A	112.0	1044062.0	1044062.0	3803.0	15.0	A	1.0	23.0	8.0	0.0	1.0	23.0	1487.0	0.0	Jugovzhodna Slovenija	1.0
107.0	10549.0	2010.0	A	112.0	1044063.0	1044063.0	3803.0	15.0	B	1.0	27.0	12.0	0.0	1.0	27.0	1487.0	0.0	Osrednjeslovenska	1.0
108.0	158.0	2010.0	A	112.0	1044064.0	1044064.0	3803.0	16.0	A	1.0	19.0	9.0	0.0	1.0	19.0	1487.0	0.0	Osrednjeslovenska	1.0
109.0	674.0	2010.0	A	112.0	1044067.0	1044067.0	3803.0	16.0	B	1.0	19.0	11.0	0.0	2.0	19.0	1487.0	0.0	Osrednjeslovenska	1.0
110.0	160.0	2010.0	A	112.0	1044068.0	1044068.0	3803.0	17.0	A	1.0	24.0	10.0	0.0	1.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
111.0	159.0	2010.0	A	112.0	1044069.0	1044069.0	3803.0	17.0	B	1.0	26.0	12.0	0.0	2.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
112.0	163.0	2010.0	A	112.0	1044070.0	1044070.0	3803.0	18.0	A	1.0	24.0	10.0	0.0	3.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
113.0	644.0	2010.0	A	112.0	1044071.0	1044071.0	3803.0	18.0	B	1.0	25.0	11.0	0.0	1.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
114.0	166.0	2010.0	A	112.0	1044072.0	1044072.0	3803.0	19.0	A	1.0	19.0	11.0	0.0	1.0	0.0	1487.0	0.0	Osrednjeslovenska	1.0
115.0	413.0	2010.0	A	112.0	1044073.0	1044073.0	3803.0	19.0	B	1.0	20.0	12.0	0.0	0.0	0.0	1487.0	0.0	Podravska	1.0
117.0	168.0	2010.0	A	112.0	1044074.0	1044074.0	3803.0	20.0	A	1.0	22.0	10.0	0.0	1.0	0.0	1487.0	0.0	Koroška	1.0
118.0	928.0	2010.0	A	112.0	1044075.0	1044075.0	3803.0	20.0	B	1.0	22.0	11.0	0.0	1.0	0.0	1487.0	0.0	Koroška	1.0
124.0	941.0	2010.0	A	112.0	1044057.0	1044057.0	3803.0	12.0	B	1.0	25.0	13.0	0.0	1.0	25.0	0.0	0.0	Podravska	1.0
125.0	942.0	2010.0	A	115.0	1043989.0	1043989.0	3803.0	16.0	A	1.0	20.0	7.0	0.0	1.0	11.0	1487.0	0.0	Podravska	1.0
126.0	574.0	2010.0	A	115.0	1043990.0	1043990.0	3803.0	16.0	B	1.0	20.0	14.0	0.0	0.0	11.0	1487.0	0.0	Podravska	1.0
127.0	1315.0	2010.0	A	115.0	1043991.0	1043991.0	3803.0	17.0	A	1.0	26.0	12.0	0.0	3.0	3.0	1487.0	0.0	Gorenjska	1.0
128.0	1316.0	2010.0	A	115.0	1043992.0	1043992.0	3803.0	17.0	B	1.0	26.0	12.0	0.0	2.0	0.0	1487.0	0.0	Gorenjska	1.0
129.0	488.0	2010.0	A	115.0	1043993.0	1043993.0	3803.0	18.0	A	1.0	24.0	13.0	0.0	2.0	0.0	1487.0	0.0	Gorenjska	1.0
131.0	828.0	2010.0	A	115.0	1043995.0	1043995.0	3803.0	19.0	A	1.0	25.0	11.0	0.0	1.0	0.0	1487.0	0.0	Gorenjska	1.0
