sola;izb0;izb1;izb2;izb3;izb4;izb5;izb6;izb7;izb8;izb9;izb10;izb11;izb12;izb13;izb14;izb15;izb16;izb17;izb18;izb19;izb20;izb21;izb22;izb23;izb24;izb25;izb26;izb27;izb28;izb29;izb30;izb31;izb32;izb33;izb34;izb35;izb36;izb37;izb38;izb39;izb40;izb41;izb42;izb43;izb44;izb45;izb46;izb47;izb48;izb49;izb50;izb51;izb52;izb53;izb54;izb55;izb56;izb57;izb58;izb59;izb60;izb61;izb62;izb63;izb64;izb65;izb66;izb67;izb68;izb69;izb70;izb71;izb72;izb73;izb74;izb75;izb76;izb77;izb78;izb79;izb80;izb81;izb82;izb83;izb84;izb85;izb86;izb87;izb88;izb89;izb90;izb91;izb92;izb93;izb94;izb95;izb96;izb97;izb98;izb99;izb100;izb101;izb102;izb103;izb104;izb105;izb106;izb107;izb108;izb109;izb110;izb111;izb112;izb113;izb114;izb115;izb116;izb117;izb118;izb119
Osnovna šola Toneta Šraja Aljoše;0;0;0;0.01014760147601476;0.005535055350553505;0;0;0.011992619926199263;0;0;0;0;0;0;0;0;0;0;0.006457564575645757;0.006457564575645757;0;0;0;0.007380073800738007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0036900369003690036;0;0;0;0;0.004612546125461255;0;0;0;0;0;0;0;0;0;0;0;0.007380073800738007;0;0;0.023062730627306273;0;0;0;0;0;0;0.01937269372693727;0.006457564575645757;0;0;0.008302583025830259;0;0;0;0;0;0.01014760147601476;0;0.005535055350553505;0;0;0;0.01014760147601476;0;0;0.0018450184501845018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.013837638376383764;0.0036900369003690036;0;0;0;0.006457564575645757;0;0;0;0.008302583025830259;0;0.01014760147601476;0;0;0;0;0;0;0
Osnovna šola Globoko;0;0;0;0.011976047904191617;0.00718562874251497;0;0;0;0;0;0.005988023952095809;0;0;0;0.02155688622754491;0;0;0;0;0.005988023952095809;0;0;0;0;0;0;0;0;0;0;0;0;0.017964071856287425;0;0.009580838323353293;0;0;0;0;0;0;0;0.00718562874251497;0;0;0.00718562874251497;0.00718562874251497;0;0.00718562874251497;0;0;0;0;0.00718562874251497;0;0;0;0.011976047904191617;0;0;0.009580838323353293;0;0;0.011976047904191617;0;0;0;0.01437125748502994;0;0;0;0;0.00718562874251497;0;0;0;0;0.00718562874251497;0;0;0.011976047904191617;0;0;0.005988023952095809;0;0;0.009580838323353293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.013173652694610778;0;0;0;0;0.00718562874251497;0;0;0;0.008383233532934131;0;0.00718562874251497;0;0;0;0;0;0;0
Osnovna šola Gornja Radgona;0;0;0;0.004536082474226804;0;0.0018556701030927835;0.0026804123711340207;0;0;0;0;0;0;0;0;0;0;0;0;0.003092783505154639;0;0.003092783505154639;0;0.00288659793814433;0;0.002268041237113402;0.003092783505154639;0;0.006185567010309278;0;0;0;0;0;0.0047422680412371136;0.0018556701030927835;0;0;0;0;0.004536082474226804;0;0;0.00288659793814433;0.0018556701030927835;0;0;0;0.0016494845360824743;0.0026804123711340207;0;0;0;0;0;0;0;0.002061855670103093;0;0;0.006391752577319588;0;0;0.0026804123711340207;0;0;0;0.008453608247422681;0.004536082474226804;0;0;0.00288659793814433;0.0018556701030927835;0;0;0;0;0;0;0.004329896907216495;0.002474226804123711;0;0.004329896907216495;0.004329896907216495;0;0;0.003092783505154639;0;0;0;0;0;0;0;0;0;0.0018556701030927835;0.0016494845360824743;0;0;0;0.009072164948453608;0;0;0;0.00288659793814433;0.004536082474226804;0;0;0;0.00288659793814433;0;0.008865979381443298;0;0;0;0.0026804123711340207;0;0;0
Osnovna šola Jela Janežièa ;0.03208556149732621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0213903743315508;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0213903743315508;0;0;0;0;0;0.0213903743315508;0;0;0;0;0;0;0;0.0213903743315508;0;0;0;0;0;0;0;0;0.03208556149732621;0;0;0;0;0.0213903743315508;0.026737967914438502;0;0;0;0;0;0;0;0;0;0;0;0;0.0213903743315508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Osnovna šola V parku ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4166666666666667;0;0;0;0;0;0.5833333333333334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Osnovna šola Antona Ingolièa Spodnja Polskava Podružnièna šola Pragersko;0;0;0;0.007936507936507936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.026984126984126985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.020634920634920634;0;0;0;0;0;0.009523809523809525;0;0;0;0.015873015873015872;0.012698412698412698;0;0;0;0;0;0;0;0;0;0;0;0.004761904761904762;0;0;0.026984126984126985;0;0;0.020634920634920634;0;0;0;0.023809523809523808;0;0;0;0;0;0;0;0;0;0.022222222222222223;0;0;0;0;0.015873015873015872;0;0;0;0.014285714285714285;0;0;0;0;0;0;0;0;0;0.020634920634920634;0;0;0;0;0.014285714285714285;0;0;0;0;0;0;0;0;0.025396825396825397;0;0.020634920634920634;0.011111111111111112;0;0;0.011111111111111112;0;0;0
Osnovna šola Notranjski odred Cerknica;0;0;0;0.001931434089811685;0.005311443746982134;0.0031385803959439883;0;0;0;0;0;0;0.0016900048285852245;0;0;0;0;0;0.00386286817962337;0.0043457267020762915;0;0;0;0;0;0;0;0;0.0024142926122646064;0;0;0;0;0;0.005070014485755674;0;0;0;0;0;0.005070014485755674;0;0.0028971511347175277;0;0.0021728633510381457;0.005311443746982134;0;0;0.0016900048285852245;0;0;0.002655721873491067;0;0.002655721873491067;0;0.0016900048285852245;0;0.001931434089811685;0;0.0009657170449058426;0.012071463061323033;0;0;0.005070014485755674;0;0;0;0.007242877836793819;0.00386286817962337;0;0;0.0014485755673587638;0;0;0;0.0016900048285852245;0;0.0014485755673587638;0;0.002655721873491067;0.002655721873491067;0;0.006035731530661516;0.004828585224529213;0.00386286817962337;0;0.0045871559633027525;0;0.001931434089811685;0;0;0;0;0;0;0;0.00772573635924674;0;0.001931434089811685;0.001931434089811685;0;0.006035731530661516;0;0;0;0.001931434089811685;0.0016900048285852245;0.0014485755673587638;0;0;0.0031385803959439883;0.0021728633510381457;0.01158860453887011;0.0036214389183969096;0.001931434089811685;0;0.004104297440849831;0.002655721873491067;0;0
Osnovna šola Rodica ;0;0;0;0.0015377855887521968;0.0013181019332161687;0.0010984182776801407;0;0;0;0.0017574692442882249;0;0.0006590509666080844;0;0.0035149384885764497;0.0013181019332161687;0;0;0;0.0013181019332161687;0.006590509666080844;0;0;0;0;0;0;0.0048330404217926184;0;0.001977152899824253;0;0;0.0015377855887521968;0;0;0.006151142355008787;0;0;0;0.003954305799648506;0;0.0048330404217926184;0;0;0;0.0008787346221441124;0.003295254833040422;0;0;0.001977152899824253;0;0;0.0013181019332161687;0;0;0;0;0;0.004393673110720563;0;0;0.006151142355008787;0;0.0013181019332161687;0.0030755711775043936;0.0021968365553602814;0;0;0.0030755711775043936;0.0008787346221441124;0;0;0;0.006151142355008787;0;0;0.0017574692442882249;0.0035149384885764497;0.0030755711775043936;0;0;0;0;0.003954305799648506;0;0.001977152899824253;0;0.00461335676625659;0;0;0;0;0.0010984182776801407;0;0;0.0063708260105448155;0;0.003734622144112478;0;0;0;0;0.006151142355008787;0;0;0;0;0.0024165202108963092;0;0;0;0.005931458699472759;0.0030755711775043936;0.006151142355008787;0.0013181019332161687;0;0;0.001977152899824253;0;0;0.0006590509666080844
Osnovna šola Ig;0;0;0;0.0033731984053971173;0;0.0033731984053971173;0;0;0;0.0030665440049064702;0;0;0.0018399264029438822;0;0;0;0;0.0024532352039251764;0.0061330880098129405;0.005213124808341;0;0;0;0;0;0;0;0;0;0.005519779208831647;0;0;0;0;0.0027598896044158236;0;0;0;0;0;0.004906470407850353;0;0;0;0;0.003986507206378411;0;0;0;0;0;0.0033731984053971173;0;0;0;0;0;0.00827966881324747;0;0;0.01134621281815394;0;0;0.005519779208831647;0;0;0;0.010426249616682;0;0;0;0.005826433609322294;0.0027598896044158236;0;0;0;0.0036798528058877645;0.0021465808034345293;0;0;0.005213124808341;0;0.0024532352039251764;0.0030665440049064702;0;0;0.006439742410303588;0;0.0015332720024532351;0;0;0;0.0021465808034345293;0;0;0.0030665440049064702;0.0027598896044158236;0;0.004293161606869059;0;0;0.010426249616682;0.0036798528058877645;0;0;0.0021465808034345293;0.004293161606869059;0;0;0;0.006439742410303588;0;0.011039558417663294;0;0;0;0.005213124808341;0;0;0
Javni zavod Osnovna šola Marjana Nemca Radeèe;0;0;0;0.0029634507737899243;0.007573263088574251;0.0023049061573921633;0;0;0;0;0;0;0;0.005926901547579849;0.004280540006585446;0;0;0;0;0.0026341784655910436;0;0;0;0;0.0026341784655910436;0;0.004280540006585446;0;0;0;0;0.0013170892327955218;0.0036219953901876854;0;0.005597629239380968;0;0;0;0.004939084622983207;0;0.0032927230819888046;0;0;0.0016463615409944023;0.0016463615409944023;0.0032927230819888046;0;0;0.0029634507737899243;0;0.0026341784655910436;0;0;0;0;0;0;0;0;0;0.007902535396773132;0.0016463615409944023;0;0.0032927230819888046;0.005268356931182087;0;0;0.009219624629568653;0;0;0;0.0036219953901876854;0.0036219953901876854;0;0;0;0;0.0032927230819888046;0;0.0029634507737899243;0.0023049061573921633;0;0.005597629239380968;0;0;0.008890352321369773;0.0023049061573921633;0;0;0;0.0016463615409944023;0;0.0016463615409944023;0;0;0.008561080013170892;0.006585446163977609;0;0;0;0;0.009219624629568653;0.004609812314784327;0;0;0.007902535396773132;0.0029634507737899243;0;0;0;0.004280540006585446;0;0.009219624629568653;0.0023049061573921633;0;0;0.004609812314784327;0;0;0
